id,warehouse_block,mode_of_shipment,cost_of_product,prior_purchases,product_importance,gender,discount_offered,weight_gms,customer_care_calls,customer_rating,reached_on_time,weight_bucket,high_value,discount_tier,warehouse_enc,shipment_enc,importance_enc,gender_enc
1640,F,Flight,233,3,medium,M,1,2744,3,1,1,Medium,0,Low,4,0,1,1
1641,A,Flight,227,3,medium,M,21,2351,3,2,1,Medium,0,Medium,0,0,1,1
1642,B,Flight,258,2,medium,F,24,2878,5,4,1,Medium,1,Medium,1,0,1,0
1643,C,Flight,259,3,low,F,45,3335,5,3,1,Medium,1,High,2,0,0,0
1644,F,Flight,153,2,low,F,39,1328,3,3,1,Light,0,High,4,0,0,0
1645,D,Flight,181,3,medium,M,45,3786,3,2,1,Medium,0,High,3,0,1,1
1646,F,Flight,143,8,medium,M,12,1326,4,4,1,Light,0,Medium,4,0,1,1
1647,A,Flight,111,5,medium,F,42,1587,5,4,1,Light,0,High,0,0,1,0
1648,B,Flight,198,2,medium,M,64,3787,4,4,1,Medium,0,High,1,0,1,1
1649,C,Flight,121,3,low,F,10,1701,3,5,1,Light,0,Low,2,0,0,0
1650,F,Flight,204,3,medium,F,27,2772,3,4,1,Medium,0,Medium,4,0,1,0
1651,D,Flight,203,5,low,F,20,3098,4,2,1,Medium,0,Medium,3,0,0,0
1652,F,Flight,167,3,low,F,57,1782,4,1,1,Light,0,High,4,0,0,0
1653,A,Flight,270,3,medium,M,20,3185,4,5,1,Medium,1,Medium,0,0,1,1
1654,B,Flight,260,2,high,F,63,2715,5,3,1,Medium,1,High,1,0,2,0
1655,C,Flight,180,3,high,F,56,1684,3,3,1,Light,0,High,2,0,2,0
1656,F,Flight,157,2,medium,F,62,1366,3,3,1,Light,0,High,4,0,1,0
1657,D,Flight,156,6,low,M,65,1308,3,5,1,Light,0,High,3,0,0,1
1658,F,Flight,236,7,medium,F,44,3808,4,5,1,Medium,0,High,4,0,1,0
1659,A,Flight,240,7,medium,F,47,2174,5,2,1,Medium,0,High,0,0,1,0
1660,B,Flight,104,7,medium,F,52,1083,4,1,1,Light,0,High,1,0,1,0
1661,C,Flight,140,3,medium,F,4,1467,4,4,1,Light,0,Low,2,0,1,0
1662,F,Ship,150,3,medium,F,4,1910,3,2,1,Light,0,Low,4,2,1,0
1663,D,Ship,286,7,medium,F,7,2338,6,1,1,Medium,1,Low,3,2,1,0
1664,F,Ship,224,8,low,F,48,2627,5,5,1,Medium,0,High,4,2,0,0
1665,A,Ship,204,3,low,F,45,2513,3,5,1,Medium,0,High,0,2,0,0
1666,B,Ship,266,7,low,M,40,2304,5,2,1,Medium,1,High,1,2,0,1
1667,C,Ship,268,3,low,F,59,2083,4,5,1,Medium,1,High,2,2,0,0
1668,F,Ship,267,4,low,M,20,3132,4,5,1,Medium,1,Medium,4,2,0,1
1669,D,Ship,223,4,low,F,46,3938,3,5,1,Medium,0,High,3,2,0,0
1670,F,Ship,164,5,low,M,52,1644,5,5,1,Light,0,High,4,2,0,1
1671,A,Ship,209,4,low,F,10,3370,4,2,1,Medium,0,Low,0,2,0,0
1672,B,Ship,192,3,low,F,19,3183,3,2,1,Medium,0,Medium,1,2,0,0
1673,C,Ship,260,3,medium,M,52,2874,3,2,1,Medium,1,High,2,2,1,1
1674,F,Ship,137,5,medium,F,3,1037,2,1,1,Light,0,Low,4,2,1,0
1675,D,Ship,267,2,low,M,18,2435,3,3,1,Medium,1,Medium,3,2,0,1
1676,F,Ship,111,3,medium,M,54,1712,3,3,1,Light,0,High,4,2,1,1
1677,A,Ship,240,2,medium,F,2,3729,3,4,1,Medium,0,Low,0,2,1,0
1678,B,Ship,234,3,medium,M,40,3340,5,1,1,Medium,0,High,1,2,1,1
1679,C,Ship,190,2,medium,M,37,2563,4,2,1,Medium,0,High,2,2,1,1
1680,F,Ship,265,2,high,M,24,2415,5,2,1,Medium,1,Medium,4,2,2,1
1681,D,Ship,189,3,medium,F,37,3492,3,4,1,Medium,0,High,3,2,1,0
1682,F,Ship,121,3,medium,M,25,1124,2,1,1,Light,0,Medium,4,2,1,1
1683,A,Ship,101,6,low,M,37,1344,4,3,1,Light,0,High,0,2,0,1
1684,B,Ship,250,3,medium,M,9,2752,3,3,1,Medium,0,Low,1,2,1,1
1685,C,Ship,247,3,medium,F,64,2198,4,2,1,Medium,0,High,2,2,1,0
1686,F,Ship,162,3,medium,M,41,1104,4,4,1,Light,0,High,4,2,1,1
1687,D,Ship,219,3,low,F,56,3608,2,2,1,Medium,0,High,3,2,0,0
1688,F,Ship,258,2,medium,F,48,3717,5,1,1,Medium,1,High,4,2,1,0
1689,A,Ship,221,2,low,F,59,3444,5,4,1,Medium,0,High,0,2,0,0
1690,B,Ship,137,3,high,F,41,1176,2,4,1,Light,0,High,1,2,2,0
1691,C,Ship,174,2,medium,M,51,1430,3,4,1,Light,0,High,2,2,1,1
1692,F,Ship,189,3,medium,M,6,3671,4,2,1,Medium,0,Low,4,2,1,1
1693,D,Ship,212,4,medium,F,2,3830,4,4,1,Medium,0,Low,3,2,1,0
1694,F,Ship,183,2,low,M,57,3966,6,1,1,Medium,0,High,4,2,0,1
1695,A,Ship,180,2,low,M,26,1715,3,1,1,Light,0,Medium,0,2,0,1
1696,B,Ship,150,5,medium,F,61,1091,5,5,1,Light,0,High,1,2,1,0
1697,C,Ship,246,3,medium,F,52,2440,4,3,1,Medium,0,High,2,2,1,0
1698,F,Ship,263,3,high,F,44,3802,3,2,1,Medium,1,High,4,2,2,0
1699,D,Ship,204,2,low,M,29,2941,4,4,1,Medium,0,Medium,3,2,0,1
1700,F,Ship,223,4,low,F,20,3955,3,2,1,Medium,0,Medium,4,2,0,0
1701,A,Ship,193,2,low,F,60,2581,3,3,1,Medium,0,High,0,2,0,0
1702,B,Ship,138,3,low,F,41,1914,3,1,1,Light,0,High,1,2,0,0
1703,C,Ship,188,3,medium,F,50,3992,5,2,1,Medium,0,High,2,2,1,0
1704,F,Ship,201,3,low,F,46,3641,4,3,1,Medium,0,High,4,2,0,0
1705,D,Ship,245,2,medium,F,16,2577,3,3,1,Medium,0,Medium,3,2,1,0
1706,F,Ship,262,3,low,M,54,3150,3,2,1,Medium,1,High,4,2,0,1
1707,A,Ship,147,5,medium,F,33,1886,4,4,1,Light,0,High,0,2,1,0
1708,B,Ship,254,3,medium,F,35,2965,3,1,1,Medium,1,High,1,2,1,0
1709,C,Ship,213,4,low,F,37,2184,4,2,1,Medium,0,High,2,2,0,0
1710,F,Ship,152,2,low,M,32,1665,3,3,1,Light,0,High,4,2,0,1
1711,D,Ship,227,3,low,M,54,3972,4,1,1,Medium,0,High,3,2,0,1
1712,F,Ship,206,3,low,F,46,2944,2,5,1,Medium,0,High,4,2,0,0
1713,A,Ship,242,5,low,M,5,2307,3,4,1,Medium,0,Low,0,2,0,1
1714,B,Ship,200,3,medium,M,45,2486,4,2,1,Medium,0,High,1,2,1,1
1715,C,Ship,142,2,low,M,26,1683,4,1,1,Light,0,Medium,2,2,0,1
1716,F,Ship,275,3,low,F,61,2123,3,3,1,Medium,1,High,4,2,0,0
1717,D,Ship,222,5,medium,M,26,3137,6,1,1,Medium,0,Medium,3,2,1,1
1718,F,Ship,101,2,medium,F,56,1184,3,1,1,Light,0,High,4,2,1,0
1719,A,Ship,178,3,high,M,22,1907,4,5,1,Light,0,Medium,0,2,2,1
1720,B,Ship,243,3,medium,M,31,3943,3,2,1,Medium,0,High,1,2,1,1
1721,C,Ship,177,4,low,M,63,1058,2,1,1,Light,0,High,2,2,0,1
1722,F,Ship,270,3,medium,M,31,2377,3,2,1,Medium,1,High,4,2,1,1
1723,D,Ship,186,4,medium,F,11,3676,5,3,1,Medium,0,Medium,3,2,1,0
1724,F,Ship,133,4,medium,F,29,1094,5,3,1,Light,0,Medium,4,2,1,0
1725,A,Ship,263,4,medium,M,8,2599,3,2,1,Medium,1,Low,0,2,1,1
1726,B,Ship,248,3,medium,M,4,2207,5,3,1,Medium,0,Low,1,2,1,1
1727,C,Ship,150,3,medium,M,63,1807,5,2,1,Light,0,High,2,2,1,1
1728,F,Ship,203,4,medium,M,46,3640,3,4,1,Medium,0,High,4,2,1,1
1729,D,Ship,249,2,low,M,1,2905,2,3,1,Medium,0,Low,3,2,0,1
1730,F,Ship,238,3,medium,M,54,2860,3,3,1,Medium,0,High,4,2,1,1
1731,A,Ship,181,4,medium,F,32,3893,5,3,1,Medium,0,High,0,2,1,0
1732,B,Ship,138,4,low,M,56,1440,3,3,1,Light,0,High,1,2,0,1
1733,C,Ship,139,3,medium,F,47,1323,4,3,1,Light,0,High,2,2,1,0
1734,F,Ship,192,2,low,F,31,2621,2,3,1,Medium,0,High,4,2,0,0
1735,D,Ship,241,3,medium,M,40,3484,5,4,1,Medium,0,High,3,2,1,1
1736,F,Ship,188,3,low,F,33,3335,3,2,1,Medium,0,High,4,2,0,0
1737,A,Ship,278,2,medium,F,12,2112,6,1,1,Medium,1,Medium,0,2,1,0
1738,B,Ship,144,2,high,M,35,1072,4,1,1,Light,0,High,1,2,2,1
1739,C,Ship,208,2,medium,M,33,2170,4,5,1,Medium,0,High,2,2,1,1
1740,F,Ship,208,2,low,M,41,2036,3,2,1,Medium,0,High,4,2,0,1
1741,D,Ship,210,3,medium,M,11,2655,4,3,1,Medium,0,Medium,3,2,1,1
1742,F,Ship,237,3,medium,M,47,3625,3,3,1,Medium,0,High,4,2,1,1
1743,A,Ship,192,3,low,F,25,2443,4,4,1,Medium,0,Medium,0,2,0,0
1744,B,Ship,143,5,low,M,17,1955,6,2,1,Light,0,Medium,1,2,0,1
1745,C,Ship,234,3,high,F,60,2596,3,1,1,Medium,0,High,2,2,2,0
1746,F,Ship,147,2,low,M,17,1057,4,5,1,Light,0,Medium,4,2,0,1
1747,D,Ship,226,2,low,M,18,2582,5,1,1,Medium,0,Medium,3,2,0,1
1748,F,Ship,263,2,low,M,62,2267,4,5,1,Medium,1,High,4,2,0,1
1749,A,Ship,147,3,low,M,11,1434,4,1,1,Light,0,Medium,0,2,0,1
1750,B,Ship,174,4,low,M,18,1072,3,1,1,Light,0,Medium,1,2,0,1
1751,C,Ship,142,4,low,M,4,1583,3,1,1,Light,0,Low,2,2,0,1
1752,F,Ship,136,3,low,M,6,1900,4,4,1,Light,0,Low,4,2,0,1
1753,D,Ship,192,3,medium,M,35,2258,3,1,1,Medium,0,High,3,2,1,1
1754,F,Ship,184,5,high,F,26,3336,3,2,1,Medium,0,Medium,4,2,2,0
1755,A,Road,260,4,high,M,10,2756,6,5,1,Medium,1,Low,0,1,2,1
1756,B,Road,160,3,high,M,25,1977,5,3,1,Light,0,Medium,1,1,2,1
1757,C,Road,262,2,low,F,28,2940,3,1,1,Medium,1,Medium,2,1,0,0
1758,F,Road,217,3,low,M,51,3144,4,3,1,Medium,0,High,4,1,0,1
1759,D,Road,267,5,low,F,48,2622,3,2,1,Medium,1,High,3,1,0,0
1760,F,Road,195,2,low,M,4,3108,5,4,1,Medium,0,Low,4,1,0,1
1761,A,Road,152,2,medium,M,18,1537,4,3,1,Light,0,Medium,0,1,1,1
1762,B,Road,178,3,low,F,23,1695,4,5,1,Light,0,Medium,1,1,0,0
1763,C,Road,190,4,medium,M,61,2077,4,2,1,Medium,0,High,2,1,1,1
1764,F,Road,286,3,medium,F,12,3817,3,5,1,Medium,1,Medium,4,1,1,0
1765,D,Road,167,2,low,M,46,1023,2,1,1,Light,0,High,3,1,0,1
1766,F,Road,148,6,medium,F,63,1279,2,2,1,Light,0,High,4,1,1,0
1767,A,Road,218,4,low,F,50,3990,4,3,1,Medium,0,High,0,1,0,0
1768,B,Road,272,2,medium,F,37,2226,5,2,1,Medium,1,High,1,1,1,0
1769,C,Road,147,2,high,F,52,1570,4,3,1,Light,0,High,2,1,2,0
1770,F,Road,263,3,medium,F,32,3723,4,5,1,Medium,1,High,4,1,1,0
1771,D,Road,189,4,high,F,16,3564,5,5,1,Medium,0,Medium,3,1,2,0
1772,F,Road,242,3,low,F,7,3127,3,3,1,Medium,0,Low,4,1,0,0
1773,A,Road,204,2,low,M,40,2181,5,3,1,Medium,0,High,0,1,0,1
1774,B,Road,229,3,medium,M,2,3963,3,1,1,Medium,0,Low,1,1,1,1
1775,C,Road,180,2,low,M,33,1444,3,5,1,Light,0,High,2,1,0,1
1776,F,Road,190,4,medium,M,12,2947,5,5,1,Medium,0,Medium,4,1,1,1
1777,D,Flight,154,5,medium,M,19,1842,6,1,1,Light,0,Medium,3,0,1,1
1778,F,Flight,134,3,low,F,21,1955,4,3,1,Light,0,Medium,4,0,0,0
1779,A,Flight,206,2,medium,M,62,3558,3,3,1,Medium,0,High,0,0,1,1
1780,B,Flight,169,2,medium,M,61,1511,3,2,1,Light,0,High,1,0,1,1
1781,C,Flight,237,2,medium,F,6,2965,4,2,1,Medium,0,Low,2,0,1,0
1782,F,Flight,146,2,low,M,52,1459,4,4,1,Light,0,High,4,0,0,1
1783,D,Flight,187,3,medium,M,11,2936,5,2,1,Medium,0,Medium,3,0,1,1
1784,F,Flight,206,3,low,M,53,2182,5,4,1,Medium,0,High,4,0,0,1
1785,A,Flight,208,4,medium,M,10,2419,5,3,1,Medium,0,Low,0,0,1,1
1786,B,Flight,149,4,low,M,40,1102,4,2,1,Light,0,High,1,0,0,1
1787,C,Flight,148,4,low,M,56,1511,6,2,1,Light,0,High,2,0,0,1
1788,F,Flight,135,2,low,M,54,1011,4,2,1,Light,0,High,4,0,0,1
1789,D,Flight,242,3,medium,F,35,3556,4,1,1,Medium,0,High,3,0,1,0
1790,F,Flight,231,4,medium,M,41,2992,5,2,1,Medium,0,High,4,0,1,1
1791,A,Flight,205,5,medium,F,61,2018,6,2,1,Medium,0,High,0,0,1,0
1792,B,Flight,137,2,medium,M,37,1447,4,4,1,Light,0,High,1,0,1,1
1793,C,Flight,202,4,high,M,20,3655,3,4,1,Medium,0,Medium,2,0,2,1
1794,F,Flight,163,3,medium,M,59,1005,3,1,1,Light,0,High,4,0,1,1
1795,D,Flight,128,2,low,M,17,1824,2,2,1,Light,0,Medium,3,0,0,1
1796,F,Flight,165,3,high,M,35,1459,3,3,1,Light,0,High,4,0,2,1
1797,A,Flight,242,2,low,M,34,3966,4,1,1,Medium,0,High,0,0,0,1
1798,B,Flight,229,2,medium,M,9,3667,5,4,1,Medium,0,Low,1,0,1,1
1799,C,Ship,191,3,low,M,56,3538,5,1,1,Medium,0,High,2,2,0,1
1800,F,Ship,231,2,medium,M,49,2341,3,5,1,Medium,0,High,4,2,1,1
1801,D,Ship,183,3,medium,F,51,3863,3,1,1,Medium,0,High,3,2,1,0
1802,F,Ship,195,3,high,M,5,3251,3,1,1,Medium,0,Low,4,2,2,1
1803,A,Ship,249,2,low,F,26,2029,3,5,1,Medium,0,Medium,0,2,0,0
1804,B,Ship,151,3,low,M,16,1020,3,4,1,Light,0,Medium,1,2,0,1
1805,C,Ship,140,2,low,M,60,1950,4,1,1,Light,0,High,2,2,0,1
1806,F,Ship,151,2,medium,M,6,1114,4,1,1,Light,0,Low,4,2,1,1
1807,D,Ship,109,3,medium,M,12,1715,2,5,1,Light,0,Medium,3,2,1,1
1808,F,Ship,180,2,low,M,35,1204,5,1,1,Light,0,High,4,2,0,1
1809,A,Ship,151,5,high,M,28,1148,4,1,1,Light,0,Medium,0,2,2,1
1810,B,Ship,188,3,low,M,62,2106,2,1,1,Medium,0,High,1,2,0,1
1811,C,Ship,274,2,low,M,11,3013,4,2,1,Medium,1,Medium,2,2,0,1
1812,F,Ship,187,2,medium,F,50,2598,3,5,1,Medium,0,High,4,2,1,0
1813,D,Ship,185,2,medium,M,4,2212,4,2,1,Medium,0,Low,3,2,1,1
1814,F,Ship,187,2,medium,M,54,3290,3,4,1,Medium,0,High,4,2,1,1
1815,A,Ship,260,3,low,M,43,2143,5,4,1,Medium,1,High,0,2,0,1
1816,B,Ship,191,3,low,M,5,2007,3,3,1,Medium,0,Low,1,2,0,1
1817,C,Ship,203,2,low,F,15,2281,3,4,1,Medium,0,Medium,2,2,0,0
1818,F,Ship,144,4,low,F,63,1881,4,1,1,Light,0,High,4,2,0,0
1819,D,Ship,281,4,high,F,5,3357,5,2,1,Medium,1,Low,3,2,2,0
1820,F,Ship,169,3,medium,M,48,1279,2,3,1,Light,0,High,4,2,1,1
1821,A,Ship,201,2,medium,F,18,3461,4,3,1,Medium,0,Medium,0,2,1,0
1822,B,Ship,226,5,medium,F,12,2708,4,4,1,Medium,0,Medium,1,2,1,0
1823,C,Ship,176,5,low,F,7,1767,6,3,1,Light,0,Low,2,2,0,0
1824,F,Ship,228,4,medium,M,57,2243,3,5,1,Medium,0,High,4,2,1,1
1825,D,Ship,260,3,low,F,14,2071,4,5,1,Medium,1,Medium,3,2,0,0
1826,F,Ship,268,3,low,M,17,3085,4,5,1,Medium,1,Medium,4,2,0,1
1827,A,Ship,188,3,low,F,6,3361,4,5,1,Medium,0,Low,0,2,0,0
1828,B,Ship,213,3,medium,M,11,2037,4,4,1,Medium,0,Medium,1,2,1,1
1829,C,Ship,259,2,medium,M,44,2132,4,4,1,Medium,1,High,2,2,1,1
1830,F,Ship,257,2,high,F,46,2848,3,2,1,Medium,1,High,4,2,2,0
1831,D,Ship,163,3,low,M,38,1146,4,5,1,Light,0,High,3,2,0,1
1832,F,Ship,211,3,medium,F,12,3296,2,3,1,Medium,0,Medium,4,2,1,0
1833,A,Ship,166,2,medium,F,58,1319,3,4,1,Light,0,High,0,2,1,0
1834,B,Ship,245,4,high,F,26,2072,3,5,1,Medium,0,Medium,1,2,2,0
1835,C,Ship,234,2,medium,M,44,2548,5,5,1,Medium,0,High,2,2,1,1
1836,F,Ship,234,2,high,M,27,3393,4,2,1,Medium,0,Medium,4,2,2,1
1837,D,Ship,180,3,low,M,52,1838,3,1,1,Light,0,High,3,2,0,1
1838,F,Ship,217,4,medium,M,37,2128,4,5,1,Medium,0,High,4,2,1,1
1839,A,Ship,253,3,low,M,31,3632,4,1,1,Medium,1,High,0,2,0,1
1840,B,Ship,188,3,medium,M,3,3837,3,2,1,Medium,0,Low,1,2,1,1
1841,C,Ship,274,3,high,F,24,3829,2,3,1,Medium,1,Medium,2,2,2,0
1842,F,Ship,136,2,medium,F,54,1056,3,4,1,Light,0,High,4,2,1,0
1843,D,Ship,143,2,low,M,17,1422,3,5,1,Light,0,Medium,3,2,0,1
1844,F,Ship,267,3,low,F,57,3257,3,1,1,Medium,1,High,4,2,0,0
1845,A,Ship,198,2,medium,F,20,2266,3,4,1,Medium,0,Medium,0,2,1,0
1846,B,Ship,201,10,medium,M,17,2059,4,4,1,Medium,0,Medium,1,2,1,1
1847,C,Ship,241,10,medium,F,31,2724,3,5,1,Medium,0,High,2,2,1,0
1848,F,Ship,269,3,medium,F,2,2136,5,1,1,Medium,1,Low,4,2,1,0
1849,D,Ship,123,2,low,F,60,1653,5,5,1,Light,0,High,3,2,0,0
1850,F,Ship,178,2,low,M,32,1329,3,2,1,Light,0,High,4,2,0,1
1851,A,Ship,203,3,low,M,18,3127,3,4,1,Medium,0,Medium,0,2,0,1
1852,B,Ship,169,10,medium,F,15,1107,3,1,1,Light,0,Medium,1,2,1,0
1853,C,Ship,190,10,medium,F,27,2739,3,5,1,Medium,0,Medium,2,2,1,0
1854,F,Ship,190,7,medium,F,7,2400,3,3,1,Medium,0,Low,4,2,1,0
1855,D,Ship,238,10,medium,M,38,3556,4,5,1,Medium,0,High,3,2,1,1
1856,F,Ship,247,10,medium,F,61,2206,5,5,1,Medium,0,High,4,2,1,0
1857,A,Ship,190,10,low,F,35,3819,4,1,1,Medium,0,High,0,2,0,0
1858,B,Ship,168,3,low,F,5,1143,3,5,1,Light,0,Low,1,2,0,0
1859,C,Ship,190,3,low,M,51,2380,2,2,1,Medium,0,High,2,2,0,1
1860,F,Ship,170,8,low,M,14,1396,2,5,1,Light,0,Medium,4,2,0,1
1861,D,Ship,226,7,low,M,9,2182,4,4,1,Medium,0,Low,3,2,0,1
1862,F,Ship,256,7,low,F,50,3837,5,1,1,Medium,1,High,4,2,0,0
1863,A,Ship,104,7,low,M,30,1870,2,1,1,Light,0,Medium,0,2,0,1
1864,B,Ship,192,3,medium,F,29,3347,4,1,1,Medium,0,Medium,1,2,1,0
1865,C,Ship,213,3,medium,M,57,3599,4,3,1,Medium,0,High,2,2,1,1
1866,F,Ship,259,2,medium,M,54,2244,4,2,1,Medium,1,High,4,2,1,1
1867,D,Ship,257,2,high,M,15,3981,3,4,1,Medium,1,Medium,3,2,2,1
1868,F,Ship,163,3,low,M,52,1891,4,3,1,Light,0,High,4,2,0,1
1869,A,Ship,211,3,medium,F,55,3842,2,3,1,Medium,0,High,0,2,1,0
1870,B,Ship,166,2,medium,F,45,1741,3,2,1,Light,0,High,1,2,1,0
1871,C,Ship,245,4,high,F,47,3111,3,1,1,Medium,0,High,2,2,2,0
1872,F,Ship,234,2,medium,F,43,3822,5,5,1,Medium,0,High,4,2,1,0
1873,D,Ship,234,2,high,M,2,2008,4,4,1,Medium,0,Low,3,2,2,1
1874,F,Ship,180,3,low,F,52,1727,3,4,1,Light,0,High,4,2,0,0
1875,A,Ship,217,4,medium,F,12,2217,4,5,1,Medium,0,Medium,0,2,1,0
1876,B,Ship,253,3,low,F,58,3096,4,5,1,Medium,1,High,1,2,0,0
1877,C,Ship,188,3,medium,F,49,3221,3,4,1,Medium,0,High,2,2,1,0
1878,F,Ship,274,3,high,F,60,2053,2,2,1,Medium,1,High,4,2,2,0
1879,D,Ship,136,2,medium,F,61,1509,3,1,1,Light,0,High,3,2,1,0
1880,F,Ship,143,2,low,F,63,1246,3,1,1,Light,0,High,4,2,0,0
1881,A,Ship,267,3,low,F,55,2923,3,4,1,Medium,1,High,0,2,0,0
1882,B,Ship,198,2,medium,F,49,3573,3,1,1,Medium,0,High,1,2,1,0
1883,C,Ship,201,10,medium,M,37,3402,4,1,1,Medium,0,High,2,2,1,1
1884,F,Ship,241,10,medium,M,41,3015,3,5,1,Medium,0,High,4,2,1,1
1885,D,Ship,269,3,medium,F,51,3415,5,4,1,Medium,1,High,3,2,1,0
1886,F,Ship,123,2,low,F,30,1068,5,3,1,Light,0,Medium,4,2,0,0
1887,A,Ship,178,2,low,F,35,1183,3,4,1,Light,0,High,0,2,0,0
1888,B,Ship,203,3,low,F,58,3231,3,5,1,Medium,0,High,1,2,0,0
1889,C,Ship,169,10,medium,F,4,1665,3,2,1,Light,0,Low,2,2,1,0
1890,F,Ship,190,10,medium,F,38,2018,3,4,1,Medium,0,High,4,2,1,0
1891,D,Ship,190,7,medium,F,51,2391,3,4,1,Medium,0,High,3,2,1,0
1892,F,Road,238,10,medium,F,44,3860,4,5,1,Medium,0,High,4,1,1,0
1893,A,Road,247,10,medium,F,57,2377,5,1,1,Medium,0,High,0,1,1,0
1894,B,Road,190,10,low,M,34,3935,4,3,1,Medium,0,High,1,1,0,1
1895,C,Road,168,3,low,M,15,1862,3,2,1,Light,0,Medium,2,1,0,1
1896,F,Road,190,3,low,M,59,2108,2,1,1,Medium,0,High,4,1,0,1
1897,D,Road,170,8,low,M,61,1240,2,3,1,Light,0,High,3,1,0,1
1898,F,Road,226,7,low,M,41,2964,4,1,1,Medium,0,High,4,1,0,1
1899,A,Road,256,7,low,F,41,2758,5,2,1,Medium,1,High,0,1,0,0
1900,B,Road,104,7,low,M,12,1064,2,5,1,Light,0,Medium,1,1,0,1
1901,C,Road,192,3,medium,M,39,2943,4,4,1,Medium,0,High,2,1,1,1
1902,F,Road,195,6,low,M,38,1338,5,2,1,Light,0,High,4,1,0,1
1903,D,Road,271,4,low,M,51,1134,3,5,1,Light,1,High,3,1,0,1
1904,F,Road,296,5,medium,M,29,1648,2,1,1,Light,1,Medium,4,1,1,1
1905,A,Road,277,5,medium,F,32,1055,4,5,1,Light,1,High,0,1,1,0
1906,B,Road,140,3,low,M,32,1819,2,4,1,Light,0,High,1,1,0,1
1907,C,Road,148,3,high,F,23,1814,4,1,1,Light,0,Medium,2,1,2,0
1908,F,Road,238,2,low,F,1,2644,4,5,1,Medium,0,Low,4,1,0,0
1909,D,Road,220,3,low,M,37,2294,5,3,1,Medium,0,High,3,1,0,1
1910,F,Road,224,3,low,M,29,3623,4,4,1,Medium,0,Medium,4,1,0,1
1911,A,Road,162,3,low,F,31,1170,4,5,1,Light,0,High,0,1,0,0
1912,B,Road,202,4,low,F,1,3602,4,2,1,Medium,0,Low,1,1,0,0
1913,C,Road,226,3,medium,M,5,3914,3,5,1,Medium,0,Low,2,1,1,1
1914,F,Flight,246,2,low,M,60,2086,4,3,1,Medium,0,High,4,0,0,1
1915,D,Flight,223,3,low,F,51,3687,5,2,1,Medium,0,High,3,0,0,0
1916,F,Flight,156,2,medium,M,19,1311,5,2,1,Light,0,Medium,4,0,1,1
1917,A,Flight,189,2,low,M,38,3708,2,5,1,Medium,0,High,0,0,0,1
1918,B,Flight,242,3,high,F,2,3564,5,4,1,Medium,0,Low,1,0,2,0
1919,C,Flight,207,2,medium,F,49,3736,4,5,1,Medium,0,High,2,0,1,0
1920,F,Flight,161,3,low,F,24,1920,3,3,1,Light,0,Medium,4,0,0,0
1921,D,Flight,232,2,low,F,21,3128,4,5,1,Medium,0,Medium,3,0,0,0
1922,F,Flight,194,3,low,M,10,2554,6,4,1,Medium,0,Low,4,0,0,1
1923,A,Flight,161,3,medium,F,59,1037,5,5,1,Light,0,High,0,0,1,0
1924,B,Flight,269,3,medium,F,23,3652,4,1,1,Medium,1,Medium,1,0,1,0
1925,C,Flight,219,2,low,F,41,3932,3,3,1,Medium,0,High,2,0,0,0
1926,F,Flight,161,2,medium,F,59,1859,5,2,1,Light,0,High,4,0,1,0
1927,D,Flight,264,4,low,M,33,3561,3,1,1,Medium,1,High,3,0,0,1
1928,F,Flight,151,3,medium,M,20,1395,5,2,1,Light,0,Medium,4,0,1,1
1929,A,Flight,177,2,high,F,31,2000,5,5,1,Light,0,High,0,0,2,0
1930,B,Flight,193,5,medium,F,13,2882,2,5,1,Medium,0,Medium,1,0,1,0
1931,C,Flight,212,4,medium,M,16,2494,4,4,1,Medium,0,Medium,2,0,1,1
1932,F,Flight,210,2,medium,F,7,3405,4,1,1,Medium,0,Low,4,0,1,0
1933,D,Flight,164,2,medium,F,43,1976,4,2,1,Light,0,High,3,0,1,0
1934,F,Flight,219,3,low,M,2,3402,4,2,1,Medium,0,Low,4,0,0,1
1935,A,Flight,216,4,medium,M,27,3740,4,4,1,Medium,0,Medium,0,0,1,1
1936,B,Ship,174,2,medium,M,54,1091,5,2,1,Light,0,High,1,2,1,1
1937,C,Ship,199,2,low,M,46,2728,3,5,1,Medium,0,High,2,2,0,1
1938,F,Ship,181,3,low,M,45,2486,3,4,1,Medium,0,High,4,2,0,1
1939,D,Ship,220,3,low,M,22,2818,3,2,1,Medium,0,Medium,3,2,0,1
1940,F,Ship,215,2,low,F,47,3678,3,1,1,Medium,0,High,4,2,0,0
1941,A,Ship,248,4,high,F,56,2840,4,5,1,Medium,0,High,0,2,2,0
1942,B,Ship,183,4,low,M,49,2414,3,2,1,Medium,0,High,1,2,0,1
1943,C,Ship,194,4,medium,F,26,3818,4,2,1,Medium,0,Medium,2,2,1,0
1944,F,Ship,224,2,high,F,31,2084,4,4,1,Medium,0,High,4,2,2,0
1945,D,Ship,184,3,low,F,52,3128,4,4,1,Medium,0,High,3,2,0,0
1946,F,Ship,160,2,low,M,28,1276,4,1,1,Light,0,Medium,4,2,0,1
1947,A,Ship,182,3,low,M,8,3580,5,1,1,Medium,0,Low,0,2,0,1
1948,B,Ship,116,2,low,F,22,1430,3,2,1,Light,0,Medium,1,2,0,0
1949,C,Ship,170,4,low,M,39,1868,4,4,1,Light,0,High,2,2,0,1
